timestamp_iso,file_path,start_index,end_index,exit_code,extraction_start__to__load_the_analysis,load_the_analysis__to__analysis_loaded,analysis_loaded__to__get_the_assists,get_the_assists__to__filter_for_extract_function_assist,filter_for_extract_function_assist__to__apply_extract_function_assist,apply_extract_function_assist__to__extraction_end,time,time(ms)
2025-11-13T18:22:26,/home/matt/3712_Rust_Research_Project/evaluation/testfiles/REM_New/eval_cases/10_sway-const/sway-types/src/lib.rs,8487,8628,0,16900,136800,3300,2997610,2900,17701,3175211,3.175211
,,,,,,,,,,,0,0
2025-11-13T18:22:26,/home/matt/3712_Rust_Research_Project/evaluation/testfiles/REM_New/eval_cases/11_deno-const/ext/io/lib.rs,7284,7349,0,28801,175300,2800,7130124,5000,41100,7383125,7.383125
2025-11-13T18:22:26,/home/matt/3712_Rust_Research_Project/evaluation/testfiles/REM_New/eval_cases/12_zed-const/crates/language_tools/src/key_context_view.rs,4715,4869,0,28500,138000,2800,4142114,3600,48100,4363114,4.363114
2025-11-13T18:22:26,/home/matt/3712_Rust_Research_Project/evaluation/testfiles/REM_New/eval_cases/13_uv-const/crates/uv-python/src/interpreter.rs,7522,7554,0,49600,307201,5900,11604039,3200,101501,12071441,12.071441
2025-11-13T18:22:26,/home/matt/3712_Rust_Research_Project/evaluation/testfiles/REM_New/eval_cases/14_sway-const/sway-types/src/lib.rs,951,1083,0,26400,143200,4400,4279715,3500,37100,4494315,4.494315
2025-11-13T18:22:26,/home/matt/3712_Rust_Research_Project/evaluation/testfiles/REM_New/eval_cases/15_sway-generic-hrtb/sway-types/src/lib.rs,2722,2767,0,15800,105500,2500,2920210,2500,25400,3071910,3.07191
2025-11-13T18:22:26,/home/matt/3712_Rust_Research_Project/evaluation/testfiles/REM_New/eval_cases/16_deno-nlcf/cli/tools/test/reporters/common.rs,608,687,0,25200,136901,2900,3664112,7600,15800,3852513,3.852513
2025-11-13T18:22:26,/home/matt/3712_Rust_Research_Project/evaluation/testfiles/REM_New/eval_cases/17_deno-nlcf/cli/tools/test/reporters/common.rs,608,687,0,18300,96300,2800,2731909,2201,13400,2864910,2.86491
2025-11-13T18:22:27,/home/matt/3712_Rust_Research_Project/evaluation/testfiles/REM_New/eval_cases/18_deno-nlcf-generics/cli/tools/registry/graph.rs,5055,5334,0,19700,127401,2700,4634015,2600,15900,4802316,4.802316
2025-11-13T18:22:27,/home/matt/3712_Rust_Research_Project/evaluation/testfiles/REM_New/eval_cases/19_vaultwarden-nlcf-const/src/api/icons.rs,9242,9669,0,24600,156701,3000,5646519,8900,43100,5882820,5.88282
2025-11-13T18:22:27,/home/matt/3712_Rust_Research_Project/evaluation/testfiles/REM_New/eval_cases/1_union-hrtb-async/hubble/src/postgres.rs,4786,5274,0,21200,106900,2500,1932307,0,0,2062907,2.062907
2025-11-13T18:22:27,/home/matt/3712_Rust_Research_Project/evaluation/testfiles/REM_New/eval_cases/20_vaultwarden-async/src/api/core/organizations.rs,16791,17019,0,87101,358001,3600,16104854,2200,147800,16703556,16.703556
2025-11-13T18:22:27,/home/matt/3712_Rust_Research_Project/evaluation/testfiles/REM_New/eval_cases/21_union-async-nlcf-hrtb/lib/chain-utils/src/lib.rs,1432,1975,0,18200,104200,2600,2948210,0,0,3073210,3.07321
2025-11-13T18:22:27,/home/matt/3712_Rust_Research_Project/evaluation/testfiles/REM_New/eval_cases/22_union-dyn/lib/unionlabs/src/linea/account.rs,805,1055,0,16001,86800,2600,2248007,2100,9700,2365208,2.365208
2025-11-13T18:22:27,/home/matt/3712_Rust_Research_Project/evaluation/testfiles/REM_New/eval_cases/23_tauri-hrtb-generics/crates/tauri-utils/src/config.rs,5238,5631,0,67800,386901,3500,17676459,11000,169801,18315461,18.315461
2025-11-13T18:22:27,/home/matt/3712_Rust_Research_Project/evaluation/testfiles/REM_New/eval_cases/24_tauri-nlcf-generics/crates/tauri-cli/src/mobile/android/android_studio_script.rs,4764,5013,0,14100,116300,3500,4193814,4900,13900,4346514,4.346514
2025-11-13T18:22:27,/home/matt/3712_Rust_Research_Project/evaluation/testfiles/REM_New/eval_cases/25_tauri-nlcf/tauri-658e5f5d1dc1/crates/tauri-cli/src/interface/rust.rs,3677,3814,0,32300,189901,2400,9359531,2400,99400,9685932,9.685932
2025-11-13T18:22:27,/home/matt/3712_Rust_Research_Project/evaluation/testfiles/REM_New/eval_cases/26_tauri-nlcf/crates/tauri-cli/src/init.rs,7819,8393,0,14000,103601,2400,4992216,5300,17300,5134817,5.134817
